0,1,2,3,4,5
ハウトゥー世界征服,Neru,鏡音レン,mid2B,hihiB,
ハオ,DECO*27,初音ミク,mid1G,hiE,
馬鹿,syudou,初音ミク,mid2F,hihiB,
馬鹿はアノマリーに憧れる,鬱P,鏡音リン,mid2B,hiF#,鏡音リンの曲。デスヴォイスは調査対象外。
バグ,かいりきベア,初音ミク,mid2A#,hihiA#,
ハジマリノイロリターナー,nyanyannya,鏡音リン,mid1A,hihiC#,鏡音リン、レンの曲。レンの最高音はhiC#
ハジマリノイロリターナー,nyanyannya,鏡音レン,mid1A,hiC#,
パズルガール,とあ,初音ミク,mid1F#,hiE,
Bad ∞ End ∞ Night,ひとしずく×やまP,初音ミク,mid1G#,hihiA,
Bad ∞ End ∞ Night,ひとしずく×やまP,鏡音リン,mid2D#,hihiC,
Bad ∞ End ∞ Night,ひとしずく×やまP,鏡音レン,mid2A,hihiA,
Bad ∞ End ∞ Night,ひとしずく×やまP,巡音ルカ,mid2D#,hiC#,
Bad ∞ End ∞ Night,ひとしずく×やまP,KAITO,mid1F,mid2C#,
Bad ∞ End ∞ Night,ひとしずく×やまP,MEIKO,mid2B,hihiC#,
Bad ∞ End ∞ Night,ひとしずく×やまP,GUMI,mid2C,hiC#,
Bad ∞ End ∞ Night,ひとしずく×やまP,神威がくぽ,mid1A,mid2G#,
初音ミクの消失,cosMo＠暴走P,初音ミク,mid2A#,hiG#,早口部分が難しい。
Packaged,kz,初音ミク,mid2C,hiG,フェイクでhihiA#。1回目のフェイクの前でhiF歌いだしのサビなどそれまでの最高音はhiD。
初恋学園・純愛科,Nem,鏡音リン,mid1G,hiC,
初恋学園・純愛科,Nem,鏡音レン,mid1G,hiC,
初恋学園・純愛科,Nem,GUMI,mid1G,hiC,
初恋日記,香椎モイミ,音街ウナ,mid1F#,hiE,
PaⅢ.SENSATION,雄之助,初音ミク,mid2A#,hiD,
PaⅢ.SENSATION,雄之助,GUMI,mid2A#,hiD,
PaⅢ.SENSATION,雄之助,鏡音リン,mid2B,hiE,
ハッピーシンセサイザ,EasyPop,巡音ルカ,mid2C,hiC#,
ハッピーシンセサイザ,EasyPop,GUMI,mid2C,hiC#,
Happy Halloween,Junky,鏡音リン,mid2A#,hiF,
ハッピーホロウと神様倶楽部,ナノウ,初音ミク,mid2E,hiG#,
果てぬミライのその先へ,たべっこ,初音ミク,mid1G#,hiG#,サビ終わりのロングトーンはhihiCまで上昇
花降らし,n-buna,初音ミク,mid1G#,hiE,
花見る人,shr,鏡音レン,mid1G#,hiD,
花を唄う,シノ,初音ミク,mid1F#,hiF#,
バニー,すりぃ,鏡音レン,mid2F,hihiA,
バビロン,トーマ,初音ミク,mid1G#,hiF#,
HAKOBAKO PLAYER,アゴアニキ,鏡音リン,mid1G,hiD,鏡音リン、レンの曲。サビ「{い}【き】{て}い{ま}す」　{hiB} 【hiD】
HAKOBAKO PLAYER,アゴアニキ,鏡音レン,mid1G,hiD,
パメラ,バルーン,flower,mid2F#,hihiC,
パラサイト,DECO*27,初音ミク,mid2B,hihiA#,
Paranoid Doll,natsuP,神威がくぽ,mid1B,hiD,神威がくぽの曲。GACKTによってカバーされた。Aメロで低音連発、最低音はBメロ。最高音はラスサビの転調後。
パラメタ,40mP,初音ミク,mid2C,hiD#,
バレリーコ,みきとP,GUMI,mid1G#,hiD#,
ハロ／ハワユ,ナノウ,初音ミク,mid1G#,hiE,
パンダヒーロー,ハチ,GUMI,mid2A,hihiB,ラスサビでhihiBが1回。hiF#の使用回数が非常に多い。
Pandemic,融合P,GUMI,mid1G#,hihiA,
ビースト・ダンス,和田たけあき,音街ウナ,mid2B,hiC#,
Beat Eater,ポリスピカデリー,初音ミク,mid2D,hiD,
Be my Guest,Azari,歌愛ユキ,mid2D,hiD,
Be my Guest,Azari,flower,mid1F#,hiD,
被害妄想携帯女子(笑),ギガ,GUMI,lowF,hiF,lowFはイントロやサビ前部分それを除くと裁定音はmid1G#
卑怯戦隊うろたんだー！,シンP,KAITO,mid1D,mid2E,KAITO、MEIKO、初音ミクの曲。KAITOの高音部はmid2E。
卑怯戦隊うろたんだー！,シンP,MEIKO,,mid2F,
卑怯戦隊うろたんだー！,シンP,初音ミク,,mid2F,
ビターチョコデコレーション,syudou,初音ミク,mid2D,hiG,
ひとひらの,のりP,初音ミク,,hihiA,最高音はCメロで連発。それ以外ではhiEが最高。
人マニア,原口沙輔,重音テト,mid2D#,hiD#,
独りんぼエンヴィー,koyori(電ポルP),初音ミク,mid2B,hiD#,
ヒバナ,DECO*27,初音ミク,mid2B,hiD,
ビバハピ,Mithie M,初音ミク,,,
秘蜜～黒の誓い～,ひとしずくP,鏡音リン,mid1G,hiD#,
秘蜜～黒の誓い～,ひとしずくP,鏡音レン,mid1G,hiC,
秘密警察,ぶりるP,初音ミク,mid2C#,hihiC#,
百鬼祭,Kanaria,初音ミク,mid2A,hihiA,
病名恋ワズライ,HoneyWorks,GUMI,mid2A,hiF#,
病名は愛だった,Neru&z'5,鏡音リン,mid2D,hihiD,
病名は愛だった,Neru&z'5,鏡音レン,mid2B,hihiD,
Beyond the Way,ギガ,初音ミク,mid1F,hiG#(hihiG#),「uh 悟られそう」部分を含めるとミクパートの最低音はlowF。ラスサビにてミクコーラスのhihiC～hihiG#出現
Beyond the Way,ギガ,鏡音リン,mid1F,hiG#,
Beyond the Way,ギガ,鏡音レン,mid1C,hiG,
bin,猫アレルギー,音街ウナ,mid2D,hiG,
ぶちぬけ！２００８！,doriko,初音ミク,mid1G,hiF,
Fire◎Flower,halyosy,鏡音レン,mid1D,hiC,
フィクサー,ぬゆり,flower,mid2F#,hihiC#,
Booo!,TOKOTOKO（西沢さんP）,音街ウナ,mid2C,hiD#,
FortuneDiver,シンP,MEIKO,mid2B,hiD#,MEIKO、鏡音レン、初音ミクの曲
FortuneDiver,シンP,鏡音レン,mid2B,hiD#,
FortuneDiver,シンP,初音ミク,mid2B,hiD#,
フォニイ,ツミキ,可不,mid2A,hiG#,
福音,wotaku,初音ミク,mid2A,hiF,
福寿草,ぐにょ,初音ミク,mid2A#,hiD#,
フタリボシ,40mP,初音ミク,mid1F#,hiC#,
フタリボシ,40mP,GUMI,mid1F#,hiB,
from Y to Y,ジミーサムP,初音ミク,mid1F#,hiF#,最高音はCメロ。ラスサビで転調キー+1。
フラジール,ぬゆり,flower,mid2D#,hihiA#,
Blackjack,ゆちゃ,巡音ルカ,mid1G,hiA#,巡音ルカの曲。
ブラック★ロックシューター,supercell,初音ミク,mid1G#,hiD#,hiD#はサビに。mid1G#はAメロ。
ブリキノダンス,日向電工,初音ミク,mid2G,hihiC,
Blessing,halyosy,初音ミク,mid2D,hiF#,
Blessing,halyosy,巡音ルカ,mid2D,hiF#,
Blessing,halyosy,KAITO,mid1D,hiE,
Blessing,halyosy,鏡音レン,mid2D,hiF,
Blessing,halyosy,鏡音リン,mid1G,hiE,
Blessing,halyosy,MEIKO,mid2D,hiF#,
フロイライン=ビブリォチカ,nyanyannya!,MEIKO,mid1B,hihiC#,
flos,R Sound Design,初音ミク,mid1G#,hiF#,
プロトディスコ,ぬゆり,flower,mid2D,hihiA#,アウトロでhihiD#のフェイク出現
プロポーズ,内緒のピアス,可不,mid2D#,hihiA,
フロムトーキョー,"夏代孝明,渡辺拓也",初音ミク,mid2C,hihiA,
Paintër,halyosy,初音ミク,mid2C,hiF#,
Paintër,halyosy,鏡音リン,mid2C,hiF#,
Paintër,halyosy,鏡音レン,mid2D,hiC#,
Paintër,halyosy,巡音ルカ,mid2C,hiF,
Paintër,halyosy,KAITO,mid1D,hiA#,
Paintër,halyosy,MEIKO,mid2F,hiF#,
ヘッドフォンアクター,じん(自然の敵)P,IA,mid2A,hihiB,最高音も最低音も頻出。
ヘドニストの幸福な食卓,TaKU.K,GUMI,mid2E,hihiA#,
ベノム,かいりきベア,flower,mid2C#,hiG#,
ベベル,shr,鏡音リン,mid2D#,hiE,
偏食,香椎モイミ,初音ミク,mid2A#,hiA#,
Henceforth,Orangestar,IA,mid1F#,hihiA#,
放課後ストライド,Last Note.,GUMI,mid2B,hiE,
ぼうけんのしょがきえました！,じーざすP,鏡音リン,mid2A,hihiE,
ぼうけんのしょがきえました！,じーざすP,鏡音レン,mid1G,hiG,
方向音痴,アゴアニキ,初音ミク,mid2C#,hiB,「{あなたとす}【ご】{し}たこの{ま}(ち)が」　{hiA}【hiB】(mid2C#)
鳳仙花,黒澤まどか,初音ミク,mid1G#,hiE,
ポーカーフェイス,ゆちゃP,GUMI,mid2B,hiD,
僕らの記憶を掠わないで,rinri,鳴花ヒメ,mid2G,hihiA,
僕らの記憶を掠わないで,rinri,鳴花ミコト,mid1D,hihiD,
ホシアイ,レフティーモンスターP,GUMI,mid1E,hiF,
ポジティブ☆ダンスタイム,キノシタ,音街ウナ,mid2C#,hiG#,
ボッカデラベリタ,柊キライ,flower,mid1G#,hiG#,
ボッカデラベリタ,柊キライ,鏡音リン,mid2B,hiG#,
ポッピンキャンディ☆フィーバー！,キノシタ,音街ウナ,mid2C#,hihiA,
ポッピンキャンディ☆フィーバー！,キノシタ,鏡音リン,mid2C#,hiE,
potatoになっていく,Neru,鏡音リン,mid2A,hiF,
potatoになっていく,Neru,鏡音レン,mid1D#,mid2G#,
ホロン,wotaku,初音ミク,mid2C#,hihiA#,
ホワイトリリー,ケイエヌ,闇音レンリ,mid1F,hiG,
タイトル,アーティスト名,ボーカル,最低,最高,備考
マーシャル・マキシマイザー,柊マグネタイト,可不,mid2C#,hiF,
マオ,かいりきベア＆まふまふ,初音ミク,mid2B,hihiC#,ラスサビの転調後最高音登場「大事なのは ありのまま」
magnet,流星P,巡音ルカ,mid2A,hiE,
magnet,流星P,初音ミク,mid2A,hiF#,
マダラカルト,トーマ,GUMI,mid2B,hihiA,
マチガイサガシ,まふまふ,IA,mid1G#,hiG#,アプリゲーム『#コンパス 戦闘摂理解析システム』のキャラクター「ジャンヌダルク」のテーマソング
マトリョシカ,ハチ,初音ミク,mid1G#,hiE,
マトリョシカ,ハチ,GUMI,mid1G#,hiE,
魔法少女幸福論,トーマ,初音ミク,mid2A#,hihiD#,
魔法少女とチョコレゐト,キノピオピー,初音ミク,mid2C#,hiF,
魔法の本より,sui,初音ミク,mid2A#,hiF,
右肩の蝶,のりP,鏡音レン,mid1G,hiF,
みくみくにしてあげる♪,ika_mo,初音ミク,mid2E,hiE,mid2EはBメロで1回のみ。hiEはサビで連発。UGAにも入曲済
Mr.シャーデンフロイデ,ひとしずくP×やま△,初音ミク,mid1E,hihiB,GM Mr.Sのパートは対象外GUMIパートの最高音は二番サビオク上歌唱
Mr.シャーデンフロイデ,ひとしずくP×やま△,鏡音リン,mid2A#,hiG,
Mr.シャーデンフロイデ,ひとしずくP×やま△,鏡音レン,mid2A,hihiC,
Mr.シャーデンフロイデ,ひとしずくP×やま△,巡音ルカ,mid2A,hiB,
Mr.シャーデンフロイデ,ひとしずくP×やま△,KAITO,mid1A,mid2G,
Mr.シャーデンフロイデ,ひとしずくP×やま△,MEIKO,mid2A,hiG,
Mr.シャーデンフロイデ,ひとしずくP×やま△,GUMI,mid2A,hihiG,
Mr.シャーデンフロイデ,ひとしずくP×やま△,神威がくぽ,mid1A,mid2G,
Mr.Showtime,ひとしずくP×やま△,初音ミク,mid2C,hihiB,
Mr.Showtime,ひとしずくP×やま△,鏡音リン,mid1F,hihiA,
Mr.Showtime,ひとしずくP×やま△,鏡音レン,mid1D,hiC,
Mr.Showtime,ひとしずくP×やま△,巡音ルカ,mid2B,hiD,
Mr.Showtime,ひとしずくP×やま△,KAITO,mid1D,mid2G,
Mr.Showtime,ひとしずくP×やま△,MEIKO,mid1G#,hiF,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,初音ミク,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,巡音ルカ,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,鏡音リン,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,鏡音レン,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,GUMI,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,歌愛ユキ,mid2C#,hiD#,
Mrs.Pumpkinの滑稽な夢,ハチ,初音ミク,mid1G,hiG#,
明星ギャラクティカ,ナユタン星人,初音ミク,,,
未来Changer,がさき,IA,hiC,hihiF,hihiCが終始頻出
ミラクルペイント,OSTER project,初音ミク,mid2A,hiF#,最高音hiF#はラスサビに5回。ラストはロングトーン三連発。ラスサビ以外はhiFが最高。
ミルククラウン・オン・ソーネチカ,ユジー,初音ミク,mid2B,hihiA,
㋰責任集合体,マサラダ,重音テト,mid1F,hiC#,
メーベル,バルーン,flower,mid2D#,hihiC#,
メカクシコード,じん(自然の敵P),初音ミク,mid2D,hihiE,hihiEはラストにhihiD、hihiBとのコンボで出てくる。それ以外の最高音はサビのhihiB。
メズマライザー,サツキ,初音ミク,mid2A#,hihiD,
メズマライザー,サツキ,重音テト,mid2A#,hihiD,
メタクロニクル,shr,鏡音リン,lowD,hiE,メロはmid1A頻出の低音構成で一番低い所はlowDまで下がる。
モニタリング,DECO*27,初音ミク,mid2A,hihiA,
メビウス,柊キライ,flower,mid2D,hihiC,
メランコリック,Junky,鏡音リン,mid2C,hiD#,
メリーバットエンド,まふまふ,初音ミク,mid2A,hihiA#,ラスサビ後の「あははははははは」はhihihiA#
メルティランドナイトメア,はるまきごはん,初音ミク,mid2B,hiF#,
メルト,supercell,初音ミク,mid2A,hihiA,hihiAはラスサビで1回のみ。それ以外では最高音hiG。サビの要となる高音はhiF#。
妄想感傷代償連盟,DECO*27,初音ミク,mid2C,hiD#,
猛独が襲う,一二三,初音ミク,mid1F#,hiF#,
モザイクロール(Reloaded),DECO*27,初音ミク,mid2B,hiD#,
モノクロアクト,doriko,,,hiE,
タイトル,アーティスト名,ボーカル,最低,最高,備考
やかん,木村わいP,初音ミク,mid2A,hihihihiA,最高音は約21秒のロングトーンでhihiAから2オクターブ上昇。
ヤキモチの答え,HoneyWorks,GUMI,mid2D,hiG,
野狗子,Peg,心華,mid2C#,hiD#,
ヤツメ穴,××××,ころんぱ4号,mid1E,hiA,
ヤツメ穴,××××,デフォ子,mid1E,hiB,
ヤンキーボーイ・ヤンキーガール,トーマ,初音ミク,mid2D,hihiA#,
ユアハイネス☆マイプリンセス,ぱんたん,神威がくぽ,mid1D#,hiB,
ユアハイネス☆マイプリンセス,ぱんたん,KAITO,mid1C,hiB,
ユアハイネス☆マイプリンセス,ぱんたん,鏡音レン,mid2C,hihiB,
ユアハイネス☆マイプリンセス,ぱんたん,氷山キヨテル,mid1D#,hiB,
u,shr,鏡音リン,mid1G,hiC#,
夕景イエスタデイ,じん(自然の敵P),IA,mid2B,hiF,
夕立のりぼん,みきとP,MAYU,mid1G#,hD#,
幽霊東京,Ayase,初音ミク,mid2A#,hiG#,
ゆるふわ樹海ガール,石風呂,初音ミク,mid2D,hiE,
夜明けと蛍,n-buna,初音ミク,mid1F#,hiG#,
酔いどれ知らず,Kanaria,GUMI,mid2A,hiE,
浴槽とネオンテトラ,REISAI,flower,mid2A,hihiA,
吉原ラメント,亜沙,重音テト,mid1G#,hiB,
夜咄ディセイブ,じん(自然の敵P),IA,mid2A,hiD,
夜もすがら君思ふ,TOKOTOKO（西沢さんP）,GUMI,mid2A#,hiC#,
45秒,れすぽん,初音ミク,mid2B,hiB,
45秒,れすぽん,GUMI,mid2B,hiB,
404：虚像,しとお,初音ミク,mid1G#,hiE,
タイトル,アーティスト名,ボーカル,最低,最高,備考
ライアーダンス,DECO*27,初音ミク,mid2C,hiE,
ラヴィ,すりぃ,鏡音レン,mid2C#,hihiC#,
ラヴィット,ピノキオピー,初音ミク,mid2C#,hihiA,
ラグトレイン,稲葉曇,歌愛ユキ,mid1G,hiD#,
L'azur,Treow（逆衝動P）,初音ミク,mid1G#,hihihiD#,歌詞部分の最高音はhihihiC#直後のフェイク(ロングトーン)が最高音hihihiD#
ラストリゾート,Ayase,初音ミク,mid1F#,hihiB,
ラットが死んだ,P.I.N.A.,初音ミク,mid2A,hiC,
ラブカ？,柊キライ,flower,mid2A,hiD,
ラブレター・フロム・メランコリー,カラスヤサボウ,初音ミク,mid2E,hiF#,
ラプンツェル,n-buna,初音ミク,mid2E,hiG#,
乱,人生P,,lowG#,hiB,猫村いろはの曲。全体的に低音構成。
リスキーゲーム,黒うさP,初音ミク,mid2A,hiF#,
Restriction,人生P,巡音ルカ,lowG#,hiA#,巡音ルカの曲。最低音は1番のラップ部分。Bメロのオク下パートでlowCあり
リミッター,niki,Lily,mid1G#,hiE,
リモコン,じーざすP,鏡音リン,mid1G#,hiG#,リンパートはFakeでhihiG#出現
リモコン,じーざすP,鏡音レン,mid1G#,hiD#,
lili.,有機酸,flower,mid2D#,hiD#,
リンカーネイション,kemu,GUMI,mid2C,hihiA,
リンカーネイション,kemu,鏡音リン,mid2C,hihiA,
臨界ダイバー,うみろ,flower,mid2B,hiF#,
ルーマー,ポリスピカデリー,GUMI,mid2A,hiB,
ルカルカ★ナイトフィーバー,samfree,巡音ルカ,mid2D#,hiD#,巡音ルカの曲。
ルシファー,¿?,flower,mid2C#,hihiE,
ルマ,かいりきベア,初音ミク,mid2A,hiD#,
レコード・レド,shr,鏡音リン,mid1G#,hiC,
レトルトアイロニー,スズム,,mid1A#,hiG,
レイワイテロリズム,じっぷす,,,hihiA,
レインコート／憧憬／嫌悪／理解,ヒッキーP,鏡音リン,mid2D#,hihiF,
レゾンデイトル・カレイドスコウプ,ツミキ,初音ミク,mid2A#,hihiD,
劣等上等,ギガ,鏡音リン,mid2B,hihiB,
劣等上等,ギガ,鏡音レン,mid2A,hihiB,
Ready Steady,ギガ,初音ミク,mid2D,hiF,
Ready Steady,ギガ,鏡音リン,mid2C,hiG(hihiA),
Ready Steady,ギガ,鏡音レン,mid1D,hiC,
レムの魔法,傘村トータ,初音ミク,mid1G#,hiG#,
レンアイゲーム,ひとしずくP×やま△,鏡音レン,mid1E,hiA#,サビのコーラスはhiA～hiE(hiFはラスサビ)
恋愛裁判,40mP,初音ミク,mid1G#,hiE,
恋愛フィロソフィア,黒うさP,初音ミク,mid2A#,hiG,
レントリリー,ジグ,初音ミク,mid2C,hihiA#,
ロウワー,ぬゆり,flower,mid2C#,hihiB,
ローリンガール,wowaka(現実逃避P),初音ミク,mid2D,hihiB,赤:hihiA青:hihiBサビ「言葉に意味を奏でながら」
ロキ,みきとP,鏡音リン,mid2B,hiE,
六兆年と一夜物語,kemu,IA,mid2A,hiF#,
ロケットサイダー,ナユタン星人,初音ミク,mid2A,hihiA,
炉心融解,iroha,鏡音リン,mid2A,hihiC#,緑:hiG#赤:hihiA青:hihiB紫:hihiC#サビはhiG#以上の高音が連発ラスサビ直前のシャウトはhihiB「核融合炉にさ 飛び込んでみたいと思うーーー」
ロスタイムメモリー,じん(自然の敵P),IA,mid2A,hihiD,
ロストワンの号哭,Neru,鏡音リン,mid2B,hihiB,
ロミオとシンデレラ,doriko,初音ミク,mid1G#,hiF,
ロメオ,LIP×LIP(HoneyWorks),初音ミク,mid2C,hihiA,
ロメオ,LIP×LIP(HoneyWorks),GUMI,mid2C,hihiA,
